table,code,severity,scope,message,row_number,column,identifier,value,context
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,7382,assay_description,14566269,Inhibition of human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,7383,assay_description,14566270,Inhibition of human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,8702,assay_description,16398130,Induction of dissociation of [3H]-dofetilide from Kv11.1 channel (unknown origin) assessed as dissociation rate expressed in HEK293 cells after 1 hr,{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,8703,assay_description,16398131,Induction of dissociation of [3H]-dofetilide from Kv11.1 channel (unknown origin) assessed as dissociation rate expressed in HEK293 cells after 1 hr,{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,8704,assay_description,16398142,Binding affinity to Kv11.1 channel (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,11259,assay_description,18946001,Inhibition of iKr (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,13125,assay_description,23222331,Inhibition of hERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,13253,assay_description,23272330,Inhibition of hERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,13567,assay_description,24389040,Inhibition of hERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,13674,assay_description,24437644,Inhibition of hERG (unknown origin) expressed in CHO-K1 cells measured by whole-cell voltage-clamp assay,{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,13675,assay_description,24437645,Inhibition of hERG (unknown origin) expressed in CHO-K1 cells measured by PatchXpress higher-throughput assay,{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14596,assay_description,25511393,Inhibition of hERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14681,assay_description,25588831,Inhibition of hERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14742,assay_description,25628627,Displacement of [3H]-dofetilite from human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14743,assay_description,25628628,Displacement of [3H]-dofetilite from human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14744,assay_description,25628629,Displacement of [3H]-dofetilite from human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14745,assay_description,25628630,Displacement of [3H]-dofetilite from human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14746,assay_description,25628631,Displacement of [3H]-dofetilite from human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14747,assay_description,25628632,Displacement of [3H]-dofetilite from human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14748,assay_description,25628633,Displacement of [3H]-dofetilite from human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14749,assay_description,25628634,Displacement of [3H]-dofetilite from human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14750,assay_description,25628635,Displacement of [3H]-dofetilite from human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14751,assay_description,25628636,Displacement of [3H]-dofetilite from human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14752,assay_description,25628637,Displacement of [3H]-dofetilite from human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14753,assay_description,25628638,Displacement of [3H]-dofetilite from human ERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14754,assay_description,25628639,Displacement of [3H]-dofetilite from human ERG (unknown origin),{}
