table,code,severity,scope,message,row_number,column,identifier,value,context
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,1603,standard_units,1984785,ucm,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,1604,standard_units,1984786,ucm,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,1605,standard_units,1984787,ucm,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,16626,standard_units,15166287,ug.mL-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,19205,standard_units,16801102,ug ml-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,20600,standard_units,18166285,ug.mL-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,21816,standard_units,18591538,ug.mL-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,22885,standard_units,19145040,ug.mL-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,24005,standard_units,20657328,ug.mL-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,25721,standard_units,23253759,ug.mL-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,25722,standard_units,23253760,ug.mL-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,25723,standard_units,23253761,ug.mL-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,25724,standard_units,23253762,ug.mL-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,25725,standard_units,23253763,ug.mL-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,25726,standard_units,23253764,ug.mL-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,26520,standard_units,24687506,ug.mL-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,27612,standard_units,25066385,ug.mL-1,{}
herg,incompatible_unit,error,row,Concentration endpoint does not use a recognized concentration unit.,27613,standard_units,25066386,ug ml-1,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,388,value_raw,1403575,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,392,value_raw,1403641,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,399,value_raw,1404540,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,404,value_raw,1404686,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,415,value_raw,1410874,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,424,value_raw,1412376,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,527,value_raw,1457177,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,530,value_raw,1462986,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,650,value_raw,1683052,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,676,value_raw,1686602,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,683,value_raw,1693134,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,684,value_raw,1693159,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,685,value_raw,1693160,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,695,value_raw,1693611,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,707,value_raw,1693623,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,708,value_raw,1693624,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,713,value_raw,1695181,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,721,value_raw,1699783,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,722,value_raw,1699802,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,723,value_raw,1699803,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,724,value_raw,1699804,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,737,value_raw,1702068,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,843,value_raw,1730650,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,844,value_raw,1730651,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,845,value_raw,1730806,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,846,value_raw,1730977,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,847,value_raw,1730986,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,848,value_raw,1731503,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,849,value_raw,1731509,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,850,value_raw,1731521,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,851,value_raw,1732488,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,852,value_raw,1732490,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,853,value_raw,1732537,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,856,value_raw,1741450,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,949,value_raw,1756736,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,966,value_raw,1763661,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,967,value_raw,1763662,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,971,value_raw,1763685,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,976,value_raw,1765956,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,988,value_raw,1777657,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,989,value_raw,1777658,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,990,value_raw,1777659,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,991,value_raw,1777660,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,992,value_raw,1777661,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,993,value_raw,1777662,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,994,value_raw,1777663,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,995,value_raw,1777664,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,996,value_raw,1777665,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,997,value_raw,1777666,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,998,value_raw,1777667,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1005,value_raw,1777688,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1006,value_raw,1777689,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1007,value_raw,1777690,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1015,value_raw,1777728,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1040,value_raw,1791365,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1041,value_raw,1791366,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1042,value_raw,1791367,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1043,value_raw,1791368,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1114,value_raw,1794515,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1115,value_raw,1794516,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1116,value_raw,1794517,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1117,value_raw,1794518,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1118,value_raw,1794519,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1119,value_raw,1794520,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1331,value_raw,1862032,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1332,value_raw,1862035,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1343,value_raw,1887529,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1346,value_raw,1887532,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1350,value_raw,1887536,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1522,value_raw,1931612,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1545,value_raw,1931635,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1558,value_raw,1953866,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1587,value_raw,1983286,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1592,value_raw,1984749,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1594,value_raw,1984751,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1643,value_raw,2010644,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1644,value_raw,2010645,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1661,value_raw,2010662,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1670,value_raw,2010671,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1673,value_raw,2010674,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1693,value_raw,2020936,,{}
herg,missing_numeric_value,error,row,'value_raw' is missing.,1694,value_raw,2020937,,{}
