table,code,severity,scope,message,row_number,column,identifier,value,context
menin,missing_numeric_value,error,row,'value_raw' is missing.,71,value_raw,13957725,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,72,value_raw,13957726,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,76,value_raw,13957730,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,77,value_raw,13957731,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,114,value_raw,14657951,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,262,value_raw,18503235,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,263,value_raw,18503236,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,264,value_raw,18503237,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,265,value_raw,18503238,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,391,value_raw,19093058,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,392,value_raw,19093059,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,465,value_raw,28167423,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,466,value_raw,28167424,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,468,value_raw,28167426,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,469,value_raw,28167427,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,471,value_raw,28167429,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,472,value_raw,28167430,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,474,value_raw,28167432,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,475,value_raw,28167433,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,477,value_raw,28167435,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,478,value_raw,28167436,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,480,value_raw,28167438,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,481,value_raw,28167439,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,483,value_raw,28167441,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,484,value_raw,28167442,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,486,value_raw,28167444,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,487,value_raw,28167445,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,489,value_raw,28167447,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,490,value_raw,28167448,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,492,value_raw,28167450,,{}
