table,code,severity,scope,message,row_number,column,identifier,value,context
pk,conflicting_repeated_measurement,warning,row,Repeated exact measurements differ by at least the configured log10 threshold.,10,standard_value,3483955,705.85,"{""assay_count"":4,""compound_key"":""CHEMBL1747"",""endpoint"":""cmax"",""log10_spread"":2.0287696750708526,""maximum"":75419.23,""measurement_count"":4,""minimum"":705.85,""target"":""CHEMBL375"",""threshold"":2.0,""unit"":""nm""}"
pk,conflicting_repeated_measurement,warning,row,Repeated exact measurements differ by at least the configured log10 threshold.,15,standard_value,3483960,0.48,"{""assay_count"":4,""compound_key"":""CHEMBL1747"",""endpoint"":""f"",""log10_spread"":2.318758762624413,""maximum"":100.0,""measurement_count"":4,""minimum"":0.48,""target"":""CHEMBL375"",""threshold"":2.0,""unit"":""%""}"
pk,conflicting_repeated_measurement,warning,row,Repeated exact measurements differ by at least the configured log10 threshold.,16,standard_value,3483961,35207.05,"{""assay_count"":4,""compound_key"":""CHEMBL1747"",""endpoint"":""cmax"",""log10_spread"":2.0287696750708526,""maximum"":75419.23,""measurement_count"":4,""minimum"":705.85,""target"":""CHEMBL375"",""threshold"":2.0,""unit"":""nm""}"
pk,conflicting_repeated_measurement,warning,row,Repeated exact measurements differ by at least the configured log10 threshold.,21,standard_value,3483966,96.45,"{""assay_count"":4,""compound_key"":""CHEMBL1747"",""endpoint"":""f"",""log10_spread"":2.318758762624413,""maximum"":100.0,""measurement_count"":4,""minimum"":0.48,""target"":""CHEMBL375"",""threshold"":2.0,""unit"":""%""}"
pk,conflicting_repeated_measurement,warning,row,Repeated exact measurements differ by at least the configured log10 threshold.,22,standard_value,3483967,75419.23,"{""assay_count"":4,""compound_key"":""CHEMBL1747"",""endpoint"":""cmax"",""log10_spread"":2.0287696750708526,""maximum"":75419.23,""measurement_count"":4,""minimum"":705.85,""target"":""CHEMBL375"",""threshold"":2.0,""unit"":""nm""}"
pk,conflicting_repeated_measurement,warning,row,Repeated exact measurements differ by at least the configured log10 threshold.,27,standard_value,3483972,100.0,"{""assay_count"":4,""compound_key"":""CHEMBL1747"",""endpoint"":""f"",""log10_spread"":2.318758762624413,""maximum"":100.0,""measurement_count"":4,""minimum"":0.48,""target"":""CHEMBL375"",""threshold"":2.0,""unit"":""%""}"
pk,conflicting_repeated_measurement,warning,row,Repeated exact measurements differ by at least the configured log10 threshold.,28,standard_value,3483973,16683.78,"{""assay_count"":4,""compound_key"":""CHEMBL1747"",""endpoint"":""cmax"",""log10_spread"":2.0287696750708526,""maximum"":75419.23,""measurement_count"":4,""minimum"":705.85,""target"":""CHEMBL375"",""threshold"":2.0,""unit"":""nm""}"
pk,conflicting_repeated_measurement,warning,row,Repeated exact measurements differ by at least the configured log10 threshold.,33,standard_value,3483978,12.4,"{""assay_count"":4,""compound_key"":""CHEMBL1747"",""endpoint"":""f"",""log10_spread"":2.318758762624413,""maximum"":100.0,""measurement_count"":4,""minimum"":0.48,""target"":""CHEMBL375"",""threshold"":2.0,""unit"":""%""}"
pk,conflicting_repeated_measurement,warning,row,Repeated exact measurements differ by at least the configured log10 threshold.,72,standard_value,3468634,0.04,"{""assay_count"":2,""compound_key"":""CHEMBL841"",""endpoint"":""solubility"",""log10_spread"":4.010723865391773,""maximum"":410.0,""measurement_count"":2,""minimum"":0.04,""target"":""CHEMBL2362975"",""threshold"":2.0,""unit"":""ug.ml-1""}"
pk,conflicting_repeated_measurement,warning,row,Repeated exact measurements differ by at least the configured log10 threshold.,128,standard_value,15462028,4.433,"{""assay_count"":10,""compound_key"":""CHEMBL841"",""endpoint"":""auc"",""log10_spread"":2.264485143743186,""maximum"":95.0,""measurement_count"":10,""minimum"":0.5167,""target"":""CHEMBL375"",""threshold"":2.0,""unit"":""ng.hr.ml-1""}"
