dataset,column,rows,missing_rows,missing_fraction
menin,smiles,8176,1382,0.16903131115459882
menin,target_name,8176,3884,0.47504892367906065
menin,target_id,8176,3884,0.47504892367906065
menin,assay_description,8176,1126,0.137720156555773
menin,assay_type,8176,1126,0.137720156555773
menin,document_year,8176,1126,0.137720156555773
menin,standard_units,8176,3300,0.40362035225048926
menin,p_value,8176,3999,0.48911448140900193
herg,smiles,41078,102,0.002483080967914699
herg,target_name,41078,0,0.0
herg,target_id,41078,0,0.0
herg,assay_description,41078,0,0.0
herg,assay_type,41078,0,0.0
herg,document_year,41078,3354,0.08164954476848922
herg,standard_units,41078,6563,0.1597692195335703
herg,p_value,41078,17780,0.4328350942110132
pk_admet,smiles,204,0,0.0
pk_admet,admet_endpoint,204,0,0.0
pk_admet,species,204,14,0.06862745098039216
pk_admet,matrix,204,137,0.6715686274509803
pk_admet,administration_route,204,85,0.4166666666666667
pk_admet,experimental_context,204,0,0.0
pk_admet,standard_units,204,0,0.0
