cross_source_mirror_group_id,cross_source_mirror_preferred_source,is_cross_source_mirror_redundant,source,source_record_id,document_id,assay_id,structure_id,endpoint,assay_family,relation,value_nm,p_value
MIR-000D6F54BC2A5598C854,BindingDB,False,BindingDB,1180215,US11369605,,STR-CA8BB4E5B33A6CEB6BFF,IC50,biochemical_inhibition,<,3.0,8.522878745280337
MIR-000D6F54BC2A5598C854,BindingDB,True,PubChem,1806619:8,1806619,1806619,STR-CA8BB4E5B33A6CEB6BFF,IC50,biochemical_inhibition,<,3.0,8.522878745280337
MIR-000FE9077565A1F460E5,ChEMBL,True,BindingDB,51190010,10.1021/jm3015298,,STR-D669A219C022A29B5DB1,Ki,biochemical_binding,=,136.0,6.866461091629782
MIR-000FE9077565A1F460E5,ChEMBL,False,ChEMBL,12639624,CHEMBL2311406,CHEMBL2320318,STR-D669A219C022A29B5DB1,Ki,biochemical_binding,=,136.0,6.866461091629782
MIR-00E2062256872A5D7D7D,ChEMBL,False,ChEMBL,28232999,CHEMBL5728236,CHEMBL5736349,STR-E971954B90C3DF1122E8,IC50,biochemical_binding,=,18.0,7.744727494896693
MIR-00E2062256872A5D7D7D,ChEMBL,True,PubChem,1805208:312,1805208,1805208,STR-E971954B90C3DF1122E8,IC50,biochemical_binding,=,18.0,7.744727494896693
MIR-012E34E59C1A98814171,BindingDB,False,BindingDB,1384847,US11919901,,STR-55CD37C21C73CB325568,Ki,biochemical_binding,<,1.0,9.0
MIR-012E34E59C1A98814171,BindingDB,True,PubChem,1963489:158,1963489,1963489,STR-55CD37C21C73CB325568,Ki,biochemical_binding,<,1.0,9.0
MIR-0181CCBCED5F496E4CD4,ChEMBL,False,ChEMBL,28233578,CHEMBL5728236,CHEMBL5736349,STR-B41E25A7E7B38A28FF65,IC50,biochemical_binding,=,13.0,7.886056647693163
MIR-0181CCBCED5F496E4CD4,ChEMBL,True,PubChem,1805208:239,1805208,1805208,STR-B41E25A7E7B38A28FF65,IC50,biochemical_binding,=,13.0,7.886056647693163
