bemis_murcko_group,holdout_rows,mae,median_absolute_error
O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2c[nH]c3ccccc23)CCCCNC(=O)C2CCCN2C(=O)CN1,1,1.7335564131696677,1.7335564131696677
c1ccc(N2CCC(N3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)CC2)cc1,1,1.6121809504049889,1.6121809504049889
c1nc(C2CCCCC2)cs1,1,1.570640551871823,1.570640551871823
c1ccc(CN2CCC3(CCN(c4ncnc5sccc45)C3)C2)cc1,7,1.2676105359876018,1.3219697450201249
c1nc(N2CCN(C3=NCCS3)CC2)c2ccsc2n1,9,1.2386891734673129,1.2125737166502226
O=C1N(Cc2ccccc2)Cc2ccccc2C1(C1CCCC1)C1CCN(CC2CN(c3ccccc3)C2)CC1,1,1.064307050772045,1.064307050772045
c1ccc(OCCCN2CCC(C3(C4CCCC4)NCCc4sccc43)CC2)cc1,1,1.011757943617475,1.011757943617475
O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)COCc5ccccc54)CC3)C2)cc1)C1CC1,1,0.9743769569089816,0.9743769569089816
c1ccc(OCCCN2CCC(C3(c4ccccc4)NCCc4ccccc43)CC2)cc1,1,0.9595719609171428,0.9595719609171428
c1ccc(C(C2CCCC2)C2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,47,0.9187591120846409,0.8151450602414867
c1cnc(N2CCN(c3ncnc4sccc34)CC2)nc1,1,0.8827578806524414,0.8827578806524414
O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2c[nH]c3ccccc23)CCCCCCCCNC(=O)C2CCCN2C(=O)CN1,1,0.8827185280667003,0.8827185280667003
c1ccc(-c2cncnc2C2CC2)c(Oc2nncnc2N2CCC3(CNC3)C2)c1,6,0.8535431549886634,0.4926383715896465
c1ccc(OCCCN2CCC(C(c3ccccn3)C3CCCC3)CC2)cc1,3,0.8280858247590105,0.8355823148707673
