source,endpoint,measurements,unique_structures
PubChem,,2726,569
PubChem,IC50,1842,1272
BindingDB,IC50,779,724
ChEMBL,IC50,719,666
ChEMBL,k_off,437,429
ChEMBL,kon,437,429
PubChem,Ki,332,325
BindingDB,Ki,327,325
PubChem,Activity,136,27
ChEMBL,Ki,75,75
ChEMBL,Activity,59,22
PubChem,Inhibition,58,34
PubChem,GI50,39,31
PubChem,Kd,23,19
PubChem,FC,21,8
BindingDB,Kd,20,17
ChEMBL,Kd,20,17
ChEMBL,Inhibition,19,16
PubChem,CL,13,2
PubChem,GI,10,2
PubChem,Solubility,9,9
PubChem,Cp,9,3
PubChem,T1/2,9,3
PubChem,AUC,8,3
PubChem,Tm,6,2
ChEMBL,Tm,6,2
PubChem,Stability,5,1
PubChem,K,4,2
PubChem,Cmax,4,3
ChEMBL,K,4,2
PubChem,MRT,3,2
PubChem,PPB,3,1
PubChem,TGI,3,2
PubChem,Tmax,3,3
PubChem,Vdss,3,2
PubChem,Ratio IC50,2,1
PubChem,F,2,2
PubChem,solubility,1,1
