dataset,source,reason,rows
menin,BindingDB,invalid_structure,2
menin,ChEMBL,chembl_data_validity_warning,45
menin,ChEMBL,chembl_nonstandard_measurement,949
menin,ChEMBL,chembl_potential_duplicate,22
menin,ChEMBL,missing_or_non_numeric_value,885
menin,ChEMBL,missing_structure,2
menin,ChEMBL,missing_unit,442
menin,ChEMBL,nonpositive_value,14
menin,ChEMBL,unsupported_endpoint,962
menin,ChEMBL,unsupported_unit,520
menin,PubChem,missing_or_non_numeric_value,2835
menin,PubChem,missing_structure,1380
menin,PubChem,missing_unit,2858
menin,PubChem,nonpositive_value,15
menin,PubChem,target_not_relevant,268
menin,PubChem,unsupported_endpoint,3077
menin,PubChem,unsupported_unit,179
herg,ChEMBL,assay_variant_excluded,258
herg,ChEMBL,chembl_data_validity_warning,482
herg,ChEMBL,chembl_nonstandard_measurement,11908
herg,ChEMBL,chembl_potential_duplicate,2223
herg,ChEMBL,missing_or_non_numeric_value,10545
herg,ChEMBL,missing_structure,102
herg,ChEMBL,missing_unit,6563
herg,ChEMBL,nonpositive_value,547
herg,ChEMBL,unsupported_endpoint,17959
herg,ChEMBL,unsupported_unit,11212
pk_admet,ChEMBL,missing_or_non_numeric_value,67
pk_admet,ChEMBL,missing_unit,102
