structure_id_a,structure_id_b,standardized_smiles_a,standardized_smiles_b,p_activity_a,p_activity_b,absolute_delta_pactivity,higher_potency_structure_id,achiral_morgan_tanimoto,chiral_morgan_tanimoto,sali_achiral,achiral_fingerprint_identical,same_connectivity_key,same_scaffold_series,shared_assay_id,shared_document_id,evidence_context_grade
STR-8A96AEE3549DB26F33DD,STR-A03DAF6611859C5C8983,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1cccc(C(F)(F)F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,7.795880017344075,3.034737135044418,4.761142882299657,STR-8A96AEE3549DB26F33DD,0.863013698630137,0.691358024691358,34.7563430407875,False,False,True,True,True,same_assay
STR-72BF5FE38870FA3B6280,STR-7E1F0EE1EE4F776E8704,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCO)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCCOC)C(C)C)C2)C(C)C,4.051391450123564,8.527758663924915,4.4763672138013515,STR-7E1F0EE1EE4F776E8704,0.8,0.7191011235955056,22.381836069006763,False,False,True,True,True,same_assay
STR-2CFC8301293C2B82E4A6,STR-7E1F0EE1EE4F776E8704,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCCNC(C)=O)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCCOC)C(C)C)C2)C(C)C,4.064492734175287,8.527758663924915,4.463265929749628,STR-7E1F0EE1EE4F776E8704,0.8295454545454546,0.7311827956989247,26.184493454531157,False,False,True,True,True,same_assay
STR-09E54D8A9B952AC86D2A,STR-A723964BC2F481BF1509,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,CC(C)C(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,8.221848749616356,3.783570169123749,4.438278580492607,STR-09E54D8A9B952AC86D2A,0.8354430379746836,0.6818181818181818,26.971077527608923,False,False,True,True,True,same_assay
STR-377B42435916FCE77AA8,STR-A723964BC2F481BF1509,CNC(=O)O[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,CC(C)C(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,8.221848749616356,3.783570169123749,4.438278580492607,STR-377B42435916FCE77AA8,0.8354430379746836,0.6818181818181818,26.971077527608923,False,False,True,True,True,same_assay
STR-3BD3AAFB21D6F0AE245A,STR-7E1F0EE1EE4F776E8704,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCCO)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCCOC)C(C)C)C2)C(C)C,4.152489034796752,8.527758663924915,4.375269629128163,STR-7E1F0EE1EE4F776E8704,0.813953488372093,0.7142857142857143,23.517074256563877,False,False,True,True,True,same_assay
STR-7C604423619052A15AC8,STR-A723964BC2F481BF1509,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,CC(C)C(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,8.154901959985743,3.783570169123749,4.371331790861994,STR-7C604423619052A15AC8,0.8571428571428571,0.7058823529411765,30.59932253603395,False,False,True,True,True,same_assay
STR-624DE6171936672A9284,STR-A03DAF6611859C5C8983,CC(=O)O[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1cccc(C(F)(F)F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,7.397940008672037,3.034737135044418,4.3632028736276185,STR-624DE6171936672A9284,0.8309859154929577,0.6582278481012658,25.815617002296744,False,False,True,False,False,cross_context
STR-990708AC2AD0842F3BCB,STR-A723964BC2F481BF1509,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1OC(N)=O,CC(C)C(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,8.045757490560675,3.783570169123749,4.262187321436926,STR-990708AC2AD0842F3BCB,0.8333333333333334,0.686046511627907,25.573123928621563,False,False,True,True,True,same_assay
STR-79D75B6A88F0457FA1C2,STR-A723964BC2F481BF1509,CCC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,CC(C)C(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,8.0,3.783570169123749,4.216429830876251,STR-79D75B6A88F0457FA1C2,0.8354430379746836,0.6896551724137931,25.622919741478757,False,False,True,True,True,same_assay
