structure_id,endpoint,assay_family,n_measurements,n_source_rows,n_cross_source_mirror_rows_collapsed,n_sources,n_exact_measurements,n_censored_measurements,n_approximate_measurements,p_activity_median,p_activity_best,p_activity_min,value_nm_median,value_nm_best,endpoints,n_endpoints,endpoint_families,n_endpoint_families,assay_families,n_assay_families,sources,compound_ids,target_names,document_years,relations,smiles,original_smiles,canonical_smiles,standardized_smiles,inchi_key,standard_inchi_key,structure_standardization_status,activity_range_log10,is_activity_heterogeneous,heterogeneity_log_spread_threshold,censoring_policy,aggregation_value_semantics,potency_class,active_100nM,active_1uM,scored_menin_endpoint,scored_menin_assay_family,has_observed_primary_herg_record,predicted_herg_blocker_probability,predicted_herg_probability_entropy_bits,herg_max_training_tanimoto,herg_nearest_training_smiles,herg_inside_applicability_domain,predicted_herg_risk,mol_wt,exact_mol_wt,logp,tpsa,h_bond_donors,h_bond_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,fraction_csp3,heavy_atom_count,formal_charge,invalid_structure,qed,pains_alert_count,brenk_alert_count,nih_alert_count,pains_alerts,brenk_alerts,nih_alerts,scaffold_key,scaffold_method,series_id,series_size,connectivity_key,connectivity_group_size,nearest_neighbor_achiral_tanimoto,nearest_neighbor_achiral_structure_id,nearest_neighbor_chiral_tanimoto,nearest_neighbor_chiral_structure_id,local_novelty_achiral,property_window_violation_count,property_window_violations,property_desirability,ro5_violation_count,veber_violation_count,apparent_ligand_efficiency_kcal_per_mol_per_heavy_atom,apparent_lipophilic_ligand_efficiency,similarity_cluster_id,similarity_cluster_size,similarity_cluster_representative
STR-00A1D39E2CC2B5C8F906,IC50,biochemical_binding,1,2,1,2,1,0,0,5.481486060122112,5.481486060122112,5.481486060122112,3300.0,3300.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL6017609,Menin,2021,=,CS(=O)(=O)C[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,CS(=O)(=O)C[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,CS(=O)(=O)C[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,CS(=O)(=O)C[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,IECWYAQPPKAUSB-MVBJGFHDSA-N,IECWYAQPPKAUSB-MVBJGFHDSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False,IC50,biochemical_binding,False,0.7935689675317052,0.7346051729918426,0.2427184432744979,CS(=O)(=O)c1ccc(Cn2c(NC3CCN(CCc4ccc(C#N)cc4)CC3)nc3ccccc32)cc1,False,high,646.879,646.264747824,4.985080000000005,111.43999999999998,0.0,8.0,10.0,6.0,3.0,0.4857142857142857,45.0,0.0,0.0,0.3032566883693917,0,0,0,,,,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1,bemis_murcko,SER-B92687DE56E5CCCB,44,IECWYAQPPKAUSB,2,1.0,STR-4866DF3FD3D34FBFE093,0.8356164383561644,STR-F4223A1339E66808912C,0.0,0,,1.0,1,0,0.166149933022368,0.4964060601221067,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-00A2ED8561E7DE80CF5F,IC50,biochemical_binding,1,1,0,1,1,0,0,7.187086643357144,7.187086643357144,7.187086643357144,65.0,65.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,PubChem,156532023,Menin,2026,=,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)C(C)C)C(C)C)C2)C(C)C,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CCC4(C3)CN(C4)[C@H](CCCN(C)C(C)C)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)C(C)C)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)C(C)C)C(C)C)C2)C(C)C,LOLWSLIKQBDZNW-HHHXNRCGSA-N,LOLWSLIKQBDZNW-HHHXNRCGSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8666925462687205,0.566439616066509,0.2242990583181381,O=C(CCc1ccccc1)c1cc(F)ccc1OCC(O)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,False,high,583.7970000000004,583.4010020600001,5.330600000000006,77.92999999999999,0.0,8.0,13.0,4.0,2.0,0.6875,42.0,0.0,0.0,0.3132435733170498,0,0,0,,,,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,SER-F7B9115420359440,176,LOLWSLIKQBDZNW,2,1.0,STR-8535ECCB37B9DE83B0D3,0.9125,STR-38C10D94ABD1F231B9D1,0.0,0,,1.0,2,1,0.233409194798551,1.8564866433571383,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-00EAB22F635715DE8799,IC50,biochemical_binding,1,1,0,1,1,0,0,7.013228265733755,7.013228265733755,7.013228265733755,97.0,97.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,PubChem,156531478,Menin,2026,=,CC(C)[C@@H](C[C@@H](O)CN(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(C(C)C)C(C)C)C2)C1,CC(C)[C@@H](C[C@H](CN(C)C)O)N1CC2(C1)CCN(C2)C3=C(N=NC=N3)OC4=C(C=C(C=C4)F)C(=O)N(C(C)C)C(C)C,CC(C)[C@@H](C[C@@H](O)CN(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(C(C)C)C(C)C)C2)C1,CC(C)[C@@H](C[C@@H](O)CN(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(C(C)C)C(C)C)C2)C1,HGNXEODCTLZEEQ-AOYPEHQESA-N,HGNXEODCTLZEEQ-AOYPEHQESA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8411238135844789,0.6316142444241093,0.252427190542221,O=C(CCc1ccccc1)c1cc(F)ccc1OCC(O)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,False,high,585.769,585.380266616,3.9113000000000024,98.16,1.0,9.0,12.0,4.0,2.0,0.6774193548387096,42.0,0.0,0.0,0.3976179613949451,0,0,0,,,,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,SER-F7B9115420359440,176,HGNXEODCTLZEEQ,4,1.0,STR-19696E299ED51B516AAC,0.9733333333333334,STR-34A22E8D07A7D066A07D,0.0,0,,1.0,1,1,0.2277629370109724,3.1019282657337524,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-01B5E6F5633C4AF7D768,IC50,biochemical_binding,1,1,0,1,1,0,0,6.481486060122112,6.481486060122112,6.481486060122112,330.0,330.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,PubChem,156497982,Menin,2026,=,CCOCCN(C)CCC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CCC4(C3)CN(C4)[C@H](CCCN(C)CCOCC)C(C)C,CCOCCN(C)CCC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,CCOCCN(C)CCC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,HNKUHBBJPNCNIQ-MUUNZHRXSA-N,HNKUHBBJPNCNIQ-MUUNZHRXSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.875341735645564,0.5426042991442683,0.230158731341362,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,False,high,613.8229999999999,613.411566744,4.958700000000004,87.16000000000001,0.0,9.0,16.0,4.0,2.0,0.696969696969697,44.0,0.0,0.0,0.2439820350328244,0,1,0,,Aliphatic_long_chain,,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,SER-F7B9115420359440,176,HNKUHBBJPNCNIQ,1,0.8953488372093024,STR-876F949BC6A8C1B80B12,0.896551724137931,STR-CAD50D46562C0D29D331,0.1046511627906976,1,rotatable_bonds:above_max,0.8333333333333334,1,1,0.2009260678637854,1.5227860601221082,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-02403E375D780F15C68E,IC50,biochemical_binding,1,2,1,2,1,0,0,6.7594507517174005,6.7594507517174005,6.7594507517174005,174.0,174.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5864920,Menin,2021,=,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CCC#Cc2ccc(S(=O)(=O)C(F)(F)F)cc2)CC1,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CCC#Cc2ccc(S(=O)(=O)C(F)(F)F)cc2)CC1,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CCC#Cc2ccc(S(=O)(=O)C(F)(F)F)cc2)CC1,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CCC#Cc2ccc(S(=O)(=O)C(F)(F)F)cc2)CC1,HUCYVLJEZOBNPZ-SRBHEWTHSA-N,HUCYVLJEZOBNPZ-SRBHEWTHSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.8945987389687158,0.4858870030282421,0.2596153914928436,CS(=O)(=O)c1ccc(Cn2c(NC3CCN(CCc4ccc(C#N)cc4)CC3)nc3ccccc32)cc1,True,high,601.6910000000003,601.222212228,5.419980000000006,99.5,1.0,6.0,7.0,4.0,2.0,0.4838709677419355,42.0,0.0,0.0,0.4258494613770566,0,1,0,,triple_bond,,C(#Cc1ccccc1)CCN1CCC(C(c2ccccc2)C2CCCC2)CC1,bemis_murcko,SER-234F328ED82F6C63,2,HUCYVLJEZOBNPZ,1,0.8082191780821918,STR-5F462E9C39E6988CE487,0.8108108108108109,STR-5F462E9C39E6988CE487,0.1917808219178082,0,,1.0,2,0,0.2195212101272032,1.3394707517173945,CLU-7D4ABAB1699D63FA,2,STR-02403E375D780F15C68E
STR-025D3FCF7FCF0D4F8D78,IC50,biochemical_binding,1,2,1,2,1,0,0,6.110138278741811,6.110138278741811,6.110138278741811,776.0,776.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL6034245,Menin,2021,=,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C(C)(C)C)cc3)C2)CC1,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C(C)(C)C)cc3)C2)CC1,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C(C)(C)C)cc3)C2)CC1,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C(C)(C)C)cc3)C2)CC1,JSUYFSVTAJSTRY-INJIGVFBSA-N,JSUYFSVTAJSTRY-INJIGVFBSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.8343592394998572,0.6476348660102287,0.3333333432674408,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,True,high,542.7680000000001,542.3620767120001,6.118580000000008,68.6,1.0,5.0,7.0,5.0,2.0,0.5882352941176471,40.0,0.0,0.0,0.4566543992201665,0,0,0,,,,c1ccc(C(C2CCCC2)C2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,bemis_murcko,SER-FBD8412D03D2F209,47,JSUYFSVTAJSTRY,2,1.0,STR-8DC5EC4D0143F4C7CD6A,0.8732394366197183,STR-7A2E8FB7325B12C5539B,0.0,1,logp:above_max,0.8333333333333334,2,0,0.2083557153050957,-0.0084417212581966,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-026263DECB2C2D5066E0,IC50,biochemical_binding,1,1,0,1,1,0,0,6.886056647693163,6.886056647693163,6.886056647693163,130.0,130.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,PubChem,156531411,Menin,2026,=,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCC(COC)OC)C(C)C)C2)C(C)C,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CCC4(C3)CN(C4)[C@H](CCCNCC(COC)OC)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCC(COC)OC)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCC(COC)OC)C(C)C)C2)C(C)C,VOWVQSKXBYHGDQ-SVNIRARHSA-N,VOWVQSKXBYHGDQ-SVNIRARHSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.880202180993015,0.5287794229016767,0.2307692319154739,COc1ccc(OCCNCCCF)c(F)c1[C@@H]1c2[nH]c3ccc(F)cc3c2C[C@@H](C)N1CC(F)(F)CO,False,high,629.8220000000002,629.406481364,4.241400000000003,105.18,1.0,10.0,17.0,4.0,2.0,0.696969696969697,45.0,0.0,0.0,0.2556393761630607,0,1,0,,Aliphatic_long_chain,,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,SER-F7B9115420359440,176,VOWVQSKXBYHGDQ,1,0.9222222222222224,STR-D9830BB6778F6B1CAA5F,0.9222222222222224,STR-D9830BB6778F6B1CAA5F,0.0777777777777777,1,rotatable_bonds:above_max,0.8333333333333334,1,1,0.2087240281656327,2.64465664769316,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-0298F7259BA97653A4EC,IC50,biochemical_binding,1,1,0,1,1,0,0,3.9229956732066498,3.9229956732066498,3.9229956732066498,119400.0,119400.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,PubChem,132104438,Menin,2023,=,CO[C@H]1CCC[C@@H]1C1(C2CCN(CCCOc3ccc(C(=O)O)cc3)CC2)CNCc2ccccc21,CO[C@H]1CCC[C@@H]1C2(CNCC3=CC=CC=C32)C4CCN(CC4)CCCOC5=CC=C(C=C5)C(=O)O,CO[C@H]1CCC[C@@H]1C1(C2CCN(CCCOc3ccc(C(=O)O)cc3)CC2)CNCc2ccccc21,CO[C@H]1CCC[C@@H]1C1(C2CCN(CCCOc3ccc(C(=O)O)cc3)CC2)CNCc2ccccc21,YBJXBORFFTXBGD-SRBHEWTHSA-N,YBJXBORFFTXBGD-SRBHEWTHSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,low_or_inactive_>10uM,False,False,IC50,biochemical_binding,False,0.954307844214248,0.2678077107094924,0.3092783391475677,O=C(c1ccc(F)cc1F)C1CCN(CCCOc2ccc(-c3nc4ccccc4o3)cc2)CC1,True,high,492.66000000000025,492.29880776,4.722000000000003,71.03,2.0,5.0,9.0,5.0,2.0,0.5666666666666667,36.0,0.0,0.0,0.4937548421385109,0,1,0,,Aliphatic_long_chain,,c1ccc(OCCCN2CCC(C3(C4CCCC4)CNCc4ccccc43)CC2)cc1,bemis_murcko,SER-789386810AA6A1B8,13,YBJXBORFFTXBGD,2,1.0,STR-D41A5C57D5FA03036814,0.7808219178082192,STR-D41A5C57D5FA03036814,0.0,0,,1.0,0,0,0.1486379471737186,-0.7990043267933533,CLU-371107EAA4C97153,2,STR-0298F7259BA97653A4EC
STR-02EB512B892EF622930F,IC50,biochemical_binding,1,2,1,2,1,0,0,7.552841968657781,7.552841968657781,7.552841968657781,28.0,28.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5949961,Menin,2021,=,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3(F)CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)C1,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3(F)CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)C1,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3(F)CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)C1,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3(F)CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)C1,JGBNWFJPAJQWHY-UHFFFAOYSA-N,JGBNWFJPAJQWHY-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8891234054626512,0.5025543831208485,0.2380952388048172,FCC[C@@H]1Cc2ccccc2C2(CCC(N3CCN(C4CCCCC4)CC3)CC2)O1,False,high,579.8259999999999,579.329476932,5.826700000000007,43.86,0.0,5.0,8.0,7.0,2.0,0.6470588235294118,41.0,0.0,0.0,0.3940753732803304,0,0,0,,,,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1)C1CC1,bemis_murcko,SER-8B11BACADDC8B4B4,15,JGBNWFJPAJQWHY,1,0.75,STR-FDBEEEA8F638FBC3B433,0.75,STR-FDBEEEA8F638FBC3B433,0.25,0,,1.0,2,0,0.2512701572012003,1.7261419686577737,CLU-369E40B90B07000D,9,STR-B2BA33058BFAB9451C2F
STR-03825B6A51D0B0744A5D,IC50,biochemical_binding,1,1,0,1,1,0,0,6.366531544420413,6.366531544420413,6.366531544420413,430.0,430.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,PubChem,164897291,Menin,2026,=,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNC(=O)NC)C(C)C)C2)C(C)C,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CCC4(C3)CN(C4)[C@H](CCCNC(=O)NC)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNC(=O)NC)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNC(=O)NC)C(C)C)C2)C(C)C,ILUZWIYOFDJNNW-XMMPIXPASA-N,ILUZWIYOFDJNNW-XMMPIXPASA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.8565795969201961,0.5931269181864559,0.2148760259151458,O=C(NC1CC1)c1ccc(F)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2,False,high,584.7410000000002,584.3598655200001,3.919400000000003,115.82,2.0,8.0,12.0,4.0,2.0,0.6333333333333333,42.0,0.0,0.0,0.3609727660289067,0,1,0,,Aliphatic_long_chain,,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,SER-F7B9115420359440,176,ILUZWIYOFDJNNW,2,1.0,STR-241F2E6DC7BEF8AE2212,0.8837209302325582,STR-241F2E6DC7BEF8AE2212,0.0,0,,1.0,1,1,0.2067606911092724,2.44713154442041,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
