structure_id,endpoint,assay_family,n_measurements,n_source_rows,n_cross_source_mirror_rows_collapsed,n_sources,n_exact_measurements,n_censored_measurements,n_approximate_measurements,p_activity_median,p_activity_best,p_activity_min,value_nm_median,value_nm_best,endpoints,n_endpoints,endpoint_families,n_endpoint_families,assay_families,n_assay_families,sources,compound_ids,target_names,document_years,relations,smiles,original_smiles,canonical_smiles,standardized_smiles,inchi_key,standard_inchi_key,structure_standardization_status,activity_range_log10,is_activity_heterogeneous,heterogeneity_log_spread_threshold,censoring_policy,aggregation_value_semantics,potency_class,active_100nM,active_1uM,scored_menin_endpoint,scored_menin_assay_family,has_observed_primary_herg_record,predicted_herg_blocker_probability,predicted_herg_probability_entropy_bits,herg_max_training_tanimoto,herg_nearest_training_smiles,herg_inside_applicability_domain,predicted_herg_risk,mol_wt,exact_mol_wt,logp,tpsa,h_bond_donors,h_bond_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,fraction_csp3,heavy_atom_count,formal_charge,invalid_structure,qed,pains_alert_count,brenk_alert_count,nih_alert_count,pains_alerts,brenk_alerts,nih_alerts,scaffold_key,scaffold_method,series_id,series_size,connectivity_key,connectivity_group_size,nearest_neighbor_achiral_tanimoto,nearest_neighbor_achiral_structure_id,nearest_neighbor_chiral_tanimoto,nearest_neighbor_chiral_structure_id,local_novelty_achiral,property_window_violation_count,property_window_violations,property_desirability,ro5_violation_count,veber_violation_count,apparent_ligand_efficiency_kcal_per_mol_per_heavy_atom,apparent_lipophilic_ligand_efficiency,similarity_cluster_id,similarity_cluster_size,similarity_cluster_representative,observed_herg_blocker_label,observed_p_herg_median,observed_herg_value_nm_median,observed_herg_measurement_count,pk_observation_count,pk_endpoint_count,pk_endpoints,pk_species,pk_matrices,herg_evidence_status,herg_probability_used_for_decision,herg_prediction_used,observed_herg_used,potency_desirability,qed_desirability,evidence_desirability,herg_desirability,discovery_score_without_safety,complete_evidence_score,chemistry_evidence_gate,experimental_followup_tier,potency_property_pareto_rank,complete_evidence_pareto_rank,discovery_rank_without_safety,complete_evidence_rank,sensitivity_scenarios_eligible,sensitivity_rank_min,sensitivity_rank_median,sensitivity_rank_max,sensitivity_rank_span
STR-34FE1D5BDCFE7B2EB7FE,IC50,biochemical_binding,1,1,0,1,1,0,0,9.0,9.0,9.0,1.0,1.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL,CHEMBL4211366,Menin,2018,=,O=c1cccc2n1[C@@H]1C[C@H](C2)CN(CC(O)CCCc2ccccc2)C1,O=c1cccc2n1[C@@H]1C[C@H](C2)CN(CC(O)CCCc2ccccc2)C1,O=c1cccc2n1[C@@H]1C[C@H](C2)CN(CC(O)CCCc2ccccc2)C1,O=c1cccc2n1[C@@H]1C[C@H](C2)CN(CC(O)CCCc2ccccc2)C1,MCMLLYNXDSNKTO-PALXJHBUSA-N,MCMLLYNXDSNKTO-PALXJHBUSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.9196178046380028,0.403524449663921,0.2857142984867096,O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCC(c2ccccc2)CC1,True,high,352.47800000000007,352.215078136,2.651200000000001,45.47,1.0,3.0,6.0,4.0,2.0,0.5,26.0,0.0,0.0,0.8693079130263618,0,0,0,,,,O=c1cccc2n1C1CC(C2)CN(CCCCCc2ccccc2)C1,bemis_murcko,SER-87DF4ACBBC600AE2,1,MCMLLYNXDSNKTO,1,0.2151898734177215,STR-8C455D8899B5E9DDDDFA,0.2151898734177215,STR-8C455D8899B5E9DDDDFA,0.7848101265822784,0,,1.0,0,0,0.4721538461538462,6.348799999999999,CLU-4F217024905A362A,1,STR-34FE1D5BDCFE7B2EB7FE,,,,,0,0,,,,predicted_high_concern,0.9196178046380028,True,False,1.0,0.8693079130263618,0.611111111111111,0.0803821953619972,0.9220097307534204,0.7116028469055646,True,priority_3_potent_liability_flag,1,1,1,1,11,1,1.0,26,25
STR-0B18427EF6CEB8CC075B,IC50,biochemical_binding,1,2,1,2,1,0,0,8.397940008672037,8.397940008672037,8.397940008672037,4.0,4.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5763525,Menin,2021,=,C#CC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,C#CC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,C#CC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,C#CC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,NHEREKBYONAPFU-GCRSFRQPSA-N,NHEREKBYONAPFU-GCRSFRQPSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8946137337592125,0.4858407371522572,0.2792792916297912,O=C(N[C@H]1CCN(CC2CCC2)C[C@@H]1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccc(F)cc2F)on1,True,high,523.6560000000004,523.274738928,4.225260000000004,83.16,1.0,5.0,7.0,5.0,2.0,0.46875,39.0,0.0,0.0,0.5496426370008535,0,1,1,,triple_bond,activated_acetylene,c1ccc(C(C2CCCC2)C2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,bemis_murcko,SER-FBD8412D03D2F209,47,NHEREKBYONAPFU,1,0.8181818181818182,STR-571CCDCD3D693D6D5618,0.8205128205128205,STR-571CCDCD3D693D6D5618,0.1818181818181817,0,,1.0,1,0,0.2937125685084272,4.1726800086720335,CLU-5FD0DDB00E1E9375,12,STR-8A96AEE3549DB26F33DD,,,,,0,0,,,,predicted_high_concern,0.8946137337592125,True,False,0.7993133362240125,0.5496426370008535,0.7777777777777777,0.1053862662407875,0.7866451213417468,0.6163304075665069,True,priority_3_potent_liability_flag,1,1,2,4,11,2,5.0,82,80
STR-21E735B2891431212E1A,IC50,biochemical_binding,1,2,1,2,1,0,0,7.823908740944319,7.823908740944319,7.823908740944319,15.0,15.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5914463,Menin,2021,=,CNS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5c(F)cccc54)CC3)C2)cc1,CNS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5c(F)cccc54)CC3)C2)cc1,CNS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5c(F)cccc54)CC3)C2)cc1,CNS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5c(F)cccc54)CC3)C2)cc1,PQORXHKMGAJELL-UHFFFAOYSA-N,PQORXHKMGAJELL-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8370907087705141,0.6412242959474561,0.2688172161579132,CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,True,high,540.7490000000004,540.293425772,4.113400000000002,64.68,2.0,5.0,7.0,6.0,2.0,0.6,38.0,0.0,0.0,0.5535103593563964,0,0,0,,,,c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,bemis_murcko,SER-13C58FCF8A37F10D,9,PQORXHKMGAJELL,1,0.6351351351351351,STR-9C6F5F9AE1FD0341471B,0.6351351351351351,STR-9C6F5F9AE1FD0341471B,0.3648648648648649,0,,1.0,1,0,0.2808371453328434,3.710508740944317,CLU-6B75409E391AFF65,1,STR-21E735B2891431212E1A,,,,,0,0,,,,predicted_high_concern,0.8370907087705141,True,False,0.6079695803147729,0.5535103593563964,0.7777777777777777,0.1629092912294859,0.6981249130552104,0.5643210075987792,True,priority_3_potent_liability_flag,1,1,8,12,11,13,35.0,81,68
STR-DE2EA720A2F505856D97,IC50,biochemical_binding,1,2,1,2,1,0,0,7.585026652029182,7.585026652029182,7.585026652029182,26.0,26.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5790885,Menin,2021,=,N#Cc1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,N#Cc1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,N#Cc1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,N#Cc1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,BMLFKOWHMDVPHW-UHFFFAOYSA-N,BMLFKOWHMDVPHW-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8865383439379462,0.5102698628862855,0.2874999940395355,N#Cc1ccc(CCN2CCC(Nc3nc4ccccc4[nH]3)CC2)cc1,True,high,454.66200000000026,454.309647216,4.937880000000005,42.3,1.0,4.0,5.0,6.0,2.0,0.5666666666666667,34.0,0.0,0.0,0.695053924541965,0,0,0,,,,c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,bemis_murcko,SER-C8E13902550B1B05,8,BMLFKOWHMDVPHW,1,0.7076923076923077,STR-A59B36009FADA199468E,0.7076923076923077,STR-A59B36009FADA199468E,0.2923076923076922,0,,1.0,0,0,0.3042934221578766,2.6471466520291766,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729,,,,,0,0,,,,predicted_high_concern,0.8865383439379462,True,False,0.5283422173430606,0.695053924541965,0.7777777777777777,0.1134616560620538,0.6892741900388583,0.5453210565446571,True,priority_3_potent_liability_flag,1,1,9,19,11,9,47.0,95,86
STR-DAA31E2085C9B01F8A70,IC50,biochemical_binding,1,2,1,2,1,0,0,7.721246399047171,7.721246399047171,7.721246399047171,19.0,19.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5939584,Menin,2021,=,CN1Cc2cccc(F)c2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(C#N)cc4)C3)CC2)C1,CN1Cc2cccc(F)c2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(C#N)cc4)C3)CC2)C1,CN1Cc2cccc(F)c2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(C#N)cc4)C3)CC2)C1,CN1Cc2cccc(F)c2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(C#N)cc4)C3)CC2)C1,FZALIIIMFVLAJA-UHFFFAOYSA-N,FZALIIIMFVLAJA-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.9250403163130438,0.3841654011147388,0.2588235437870025,N#Cc1ccc(CCN2CCC(Nc3nc4ccccc4[nH]3)CC2)cc1,True,high,486.6790000000003,486.31587546800006,5.419180000000005,33.51,0.0,4.0,5.0,6.0,2.0,0.5806451612903226,36.0,0.0,0.0,0.5652070346957735,0,0,0,,,,c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,bemis_murcko,SER-C8E13902550B1B05,8,FZALIIIMFVLAJA,1,0.7692307692307693,STR-F334A782B734CE96FF39,0.7692307692307693,STR-F334A782B734CE96FF39,0.2307692307692307,0,,1.0,1,0,0.2925494468972317,2.302066399047166,CLU-6085115AF26E9129,1,STR-DAA31E2085C9B01F8A70,,,,,0,0,,,,predicted_high_concern,0.9250403163130438,True,False,0.5737487996823903,0.5652070346957735,0.7777777777777777,0.0749596836869561,0.6844945504946406,0.5321108337927195,True,priority_3_potent_liability_flag,1,1,10,20,11,36,60.0,104,68
STR-C388369FA2BBC8775FB4,IC50,biochemical_binding,2,3,1,2,2,0,0,7.495699914119041,7.522878745280337,7.468521082957745,32.0,30.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL4460234,Menin,2019;2021,=,CCS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,CCS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,CCS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,CCS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,YKADJJCDDOYNKA-UHFFFAOYSA-N,YKADJJCDDOYNKA-UHFFFAOYSA-N,standardized,0.0543576623225927,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8807998442664303,0.5270573591290472,0.2727272808551788,CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,True,high,521.7710000000004,521.3075986160001,4.859800000000004,52.650000000000006,1.0,5.0,7.0,6.0,2.0,0.6129032258064516,37.0,0.0,0.0,0.5640541771053956,0,0,0,,,,c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,bemis_murcko,SER-13C58FCF8A37F10D,9,YKADJJCDDOYNKA,1,0.8852459016393442,STR-F45BBAA26D4E2A02347B,0.8852459016393442,STR-F45BBAA26D4E2A02347B,0.1147540983606557,0,,1.0,1,0,0.2763279644015776,2.6358999141190367,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729,,,,,0,0,,,,predicted_high_concern,0.8807998442664303,True,False,0.4895070276525815,0.5640541771053956,0.8707696681146913,0.1192001557335696,0.6573500707409093,0.5228125919890745,True,priority_3_potent_liability_flag,1,1,13,21,11,46,59.0,148,102
STR-841FC2EFD5AAF36FB504,IC50,biochemical_binding,2,3,1,2,2,0,0,7.114721262574502,7.173925197299173,7.055517327849831,77.5,67.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL4466955,Menin,2019;2021,=,N#Cc1ccc(N2CCC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,N#Cc1ccc(N2CCC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,N#Cc1ccc(N2CCC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,N#Cc1ccc(N2CCC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,PVXVJMFKKBQPAS-UHFFFAOYSA-N,PVXVJMFKKBQPAS-UHFFFAOYSA-N,standardized,0.1184078694493422,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.9154180873764716,0.4181215700017819,0.2839506268501282,N#Cc1ccc(CCN2CCC(Nc3nc4ccccc4[nH]3)CC2)cc1,True,high,468.6890000000003,468.32529728,5.3279800000000055,42.3,1.0,4.0,5.0,6.0,2.0,0.5806451612903226,35.0,0.0,0.0,0.6442283091934651,0,0,0,,,,c1ccc(N2CCC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,bemis_murcko,SER-3C887B53965E3428,1,PVXVJMFKKBQPAS,1,0.9152542372881356,STR-FF095523952A15300267,0.9152542372881356,STR-FF095523952A15300267,0.0847457627118644,0,,1.0,1,0,0.2772708514900463,1.7867412625744965,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729,,,,,0,0,,,,predicted_high_concern,0.9154180873764716,True,False,0.3518391092832769,0.6442283091934651,0.8494195990724415,0.0845819126235284,0.6062931927138812,0.4758653726912929,True,priority_3_potent_liability_flag,1,1,14,24,11,41,107.0,202,161
STR-4A902F7AC5A334C3F331,IC50,biochemical_binding,1,1,0,1,1,0,0,8.769551078621726,8.769551078621726,8.769551078621726,1.7,1.7,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL,CHEMBL5076146,Menin,2021,=,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN(C)C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN(C)C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN(C)C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN(C)C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,REIRIUGWHFIUEL-BVPJJHLOSA-N,REIRIUGWHFIUEL-BVPJJHLOSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8995452615611159,0.4704354251713178,0.2647058963775635,CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,True,high,640.866,640.345855268,4.934300000000005,82.19,1.0,7.0,11.0,6.0,2.0,0.6285714285714286,45.0,0.0,0.0,0.3730649894694384,0,0,0,,,,O=S(=O)(c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CC1,bemis_murcko,SER-6F3389DAFB00746E,25,REIRIUGWHFIUEL,1,0.85,STR-1F39727F90F76C636B4B,0.85,STR-1F39727F90F76C636B4B,0.15,0,,1.0,1,1,0.2658148371386674,3.835251078621721,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334,,,,,0,0,,,,predicted_high_concern,0.8995452615611159,True,False,0.9231836928739088,0.3730649894694384,0.611111111111111,0.100454738438884,0.7869135360498598,0.6152988366471159,True,priority_3_potent_liability_flag,2,1,21,5,11,2,5.0,311,309
STR-B56EF6AC340F28C175E6,IC50,biochemical_binding,1,1,0,1,1,0,0,7.958607314841775,7.958607314841775,7.958607314841775,11.0,11.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL,CHEMBL4458829,Menin,2019,=,CNC(=O)O[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,CNC(=O)O[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,CNC(=O)O[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,CNC(=O)O[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,IFDKQQVTCZCWIE-GSBZAIBZSA-N,IFDKQQVTCZCWIE-GSBZAIBZSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8622511498148172,0.5783127541197729,0.2653061151504516,N#Cc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(C(=O)O)cc3)CC2)cc1,True,high,511.6700000000004,511.2947254240001,4.692760000000004,92.39,1.0,6.0,7.0,5.0,2.0,0.5161290322580645,38.0,0.0,0.0,0.5797129380017543,0,0,0,,,,c1ccc(C(C2CCCC2)C2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,bemis_murcko,SER-FBD8412D03D2F209,47,IFDKQQVTCZCWIE,2,1.0,STR-E71EA49855240EBB6F7C,0.8450704225352113,STR-53AEACA9E792A76EA570,0.0,0,,1.0,1,0,0.2856721151958995,3.2658473148417704,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A,,,,,0,0,,,,predicted_high_concern,0.8622511498148172,True,False,0.6528691049472582,0.5797129380017543,0.611111111111111,0.1377488501851828,0.7020963180572196,0.5610094510892104,True,priority_3_potent_liability_flag,2,1,29,14,11,11,40.0,100,89
STR-5D9D18A659624B9D4D9E,IC50,biochemical_binding,2,3,1,2,2,0,0,7.860623199523586,8.0,7.721246399047171,14.5,10.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL4578509,Menin,2019;2021,=,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCCC1,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCCC1,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCCC1,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCCC1,DHTUDUJUVDDGLA-UHFFFAOYSA-N,DHTUDUJUVDDGLA-UHFFFAOYSA-N,standardized,0.2787536009528288,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8945149946564029,0.4861453297858759,0.2555555701255798,CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,True,high,575.863,575.3545488080001,6.172600000000007,52.650000000000006,1.0,5.0,7.0,7.0,2.0,0.6571428571428571,41.0,0.0,0.0,0.4278649006912198,0,0,0,,,,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCCC1,bemis_murcko,SER-7508F175795F25E8,1,DHTUDUJUVDDGLA,1,0.9830508474576272,STR-213F84F38B4A2B9413E0,0.9830508474576272,STR-213F84F38B4A2B9413E0,0.0169491525423728,1,logp:above_max,0.8333333333333334,2,0,0.2615095132719554,1.6880231995235784,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729,,,,,0,0,,,,predicted_high_concern,0.8945149946564029,True,False,0.5737487996823903,0.4278649006912198,0.7959710219046126,0.105485005343597,0.6261185562439745,0.4959601685188801,True,priority_3_potent_liability_flag,2,1,36,22,11,72,89.0,302,230
