endpoint,assay_family,measurements,unique_structures,exact_measurements,modeling_eligible,median_p_activity
IC50,biochemical_binding,1722,991,1631,1389,6.655607726314889
,unclassified,1505,124,1505,0,
,biochemical_binding,1221,445,1221,0,
IC50,biochemical_inhibition,1103,912,1034,1101,6.853871964321762
Ki,biochemical_binding,696,370,196,695,9.0
k_off,biochemical_binding,437,429,437,0,
kon,biochemical_binding,437,429,437,0,
IC50,in_vivo,416,184,326,416,6.654627375932125
Activity,in_vivo,112,23,110,0,
IC50,cellular_functional,99,54,92,97,5.886056647693163
Activity,biochemical_binding,59,22,59,0,
Kd,biochemical_binding,51,20,51,50,7.623438377659143
Ki,cellular_functional,38,38,37,38,7.958607314841775
Inhibition,unclassified,35,28,22,0,
GI50,in_vivo,33,29,32,0,
FC,in_vivo,21,8,18,0,
Inhibition,biochemical_binding,19,16,6,0,
Inhibition,in_vivo,19,5,11,0,
Activity,unclassified,15,3,15,0,
CL,in_vivo,13,2,13,0,
Tm,biochemical_binding,12,2,12,0,
GI,unclassified,10,2,10,0,
Cp,in_vivo,9,3,9,0,
T1/2,in_vivo,9,3,9,0,
Solubility,in_vivo,9,9,7,0,
Activity,cellular_functional,9,2,9,0,
AUC,in_vivo,8,3,8,0,
Kd,in_vivo,6,6,6,6,7.642332658103843
Kd,cellular_functional,6,6,6,6,8.0
GI50,unclassified,6,2,6,0,
Stability,in_vivo,5,1,5,0,
K,cellular_functional,4,2,4,0,
Inhibition,cellular_functional,4,1,4,0,
Cmax,in_vivo,4,3,4,0,
K,biochemical_binding,4,2,4,0,
MRT,in_vivo,3,2,3,0,
PPB,in_vivo,3,1,3,0,
TGI,in_vivo,3,2,3,0,
Tmax,in_vivo,3,3,3,0,
Vdss,in_vivo,3,2,3,0,
Ratio IC50,cellular_functional,2,1,0,0,
F,in_vivo,2,2,2,0,
solubility,cellular_functional,1,1,1,0,
