structure_id,smiles,sources,endpoints,assay_families,document_year,observed_p_activity_median,predicted_p_activity_median,residual_observed_minus_predicted,absolute_error,prediction_interval_lower_0.90,prediction_interval_upper_0.90,max_training_tanimoto,nearest_training_smiles,inside_applicability_domain,_inside_domain
STR-A03DAF6611859C5C8983,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1cccc(C(F)(F)F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,PubChem,IC50,biochemical_binding,2023.0,3.034737135044418,6.719457975607729,-3.684720840563311,3.684720840563311,5.218763978587981,8.220151972627477,0.6987951993942261,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-077D7D9C480B1958E4A3,CNC(=O)CC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3-c3cncnc3C3CC3)C2)C1,PubChem,IC50,biochemical_binding,2026.0,4.224025668870631,6.461281448297678,-2.2372557794270467,2.2372557794270467,4.96058745127793,7.961975445317425,0.5612244606018066,CC(C)[C@@H](CCCN(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(C(C)C)C(C)C)C2)C1,False,False
STR-8D22035F518E37FF47A2,CC(C)[C@H](CCC(N)=O)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3-c3cncnc3C3CC3)C2)C1,PubChem,IC50,biochemical_binding,2026.0,4.3314277308154425,6.437340945405164,-2.1059132145897212,2.1059132145897212,4.936646948385416,7.938034942424912,0.5899999737739563,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCN(C)CCC(N)=O)C(C)C)C2)C(C)C,False,False
STR-5C740F62A4861DEC230E,CC1(C)CN=C(N2CCN(c3ncnc4sc(C(F)(F)F)cc34)CC2)S1,ChEMBL,IC50,biochemical_binding,2018.0,7.337242168318426,5.249819964335546,2.0874222039828796,2.0874222039828796,3.7491259673157984,6.750513961355294,0.6785714030265808,CCc1cc2c(N3CCCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,True,True
STR-9CEE978B571562B060A4,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(CC(F)(F)F)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,4.935542010773082,6.772199404907183,-1.8366573941341011,1.8366573941341011,5.271505407887435,8.27289340192693,0.7875000238418579,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-FE6ABAC0F054BFEC1BAA,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,5.327902142064282,7.1553068612252,-1.827404719160918,1.827404719160918,5.654612864205452,8.656000858244948,0.8309859037399292,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-229990C98B9D4B27D490,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc([N+](=O)[O-])cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,5.337242168318426,7.129720020879929,-1.792477852561503,1.792477852561503,5.629026023860181,8.630414017899676,0.8108108043670654,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-FF8C3D50A964C03AC597,CC1(C)CN=C(N2CCN(c3ncnc4sc(CC(F)F)cc34)CC2)S1,ChEMBL,IC50,biochemical_binding,2015.0,7.187086643357144,5.403571368582783,1.783515274774361,1.783515274774361,3.902877371563035,6.904265365602531,0.7321428656578064,CCc1cc2c(N3CCCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,True,True
STR-64416BC7F3D621D83B3A,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C(=O)O)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,4.82102305270683,6.552921535973826,-1.7318984832669957,1.7318984832669957,5.052227538954078,8.053615532993573,0.8028169274330139,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,True,True
STR-387792503A9801B32A63,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,ChEMBL,IC50,biochemical_binding,2013.0,4.958607314841775,6.671812599057071,-1.713205284215296,1.713205284215296,5.171118602037323,8.172506596076818,0.9903846383094788,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,True,True
