bemis_murcko_group,holdout_rows,mae,median_absolute_error
O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2c[nH]c3ccccc23)CCCCNC(=O)C2CCCN2C(=O)CN1,1,1.713205284215296,1.713205284215296
c1nc(C2CCCCC2)cs1,1,1.5605000093281864,1.5605000093281864
c1ccc(N2CCC(N3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)CC2)cc1,1,1.401445595276292,1.401445595276292
O=C1N(Cc2ccccc2)Cc2ccccc2C1(C1CCCC1)C1CCN(CC2CN(c3ccccc3)C2)CC1,1,1.3679289765379306,1.3679289765379306
c1ccc(OCCCN2CCC(C3(C4CCCC4)NCCc4sccc43)CC2)cc1,1,1.3136313012373408,1.3136313012373408
c1nc(N2CCN(C3=NCCS3)CC2)c2ccsc2n1,9,1.2309399387546702,1.2203148399317252
c1ccc(CN2CCC3(CCN(c4ncnc5sccc45)C3)C2)cc1,7,1.1401598373720139,1.1909816261137562
c1cnc(N2CCN(c3ncnc4sccc34)CC2)nc1,1,1.0287383698002666,1.0287383698002666
c1nc(N2CCNCC2)c2ccsc2n1,1,1.0026293942892694,1.0026293942892694
c1ccc(OCCCN2CCC(C3(c4ccccc4)NCCc4ccccc43)CC2)cc1,1,0.9683286727080248,0.9683286727080248
c1ccc(OCCCN2CCC(C(c3ccccn3)C3CCCC3)CC2)cc1,3,0.9557748292347638,0.9142012948096454
c1ccc(C(C2CCCC2)C2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,47,0.9551254514234205,0.8540905922139057
c1ccc(-c2cncnc2C2CC2)c(Oc2nncnc2N2CCC3(CNC3)C2)c1,6,0.9226054240766902,0.4926383715896465
O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2c[nH]c3ccccc23)CCCCCCCCNC(=O)C2CCCN2C(=O)CN1,1,0.914840347518056,0.914840347518056
O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)COCc5ccccc54)CC3)C2)cc1)C1CC1,1,0.8946603408597325,0.8946603408597325
c1ccc(-c2ccncc2)cc1,1,0.8232689067778427,0.8232689067778427
O=S(=O)(c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1)c1cn[nH]c1,10,0.7715303346650181,0.6319733756275663
O=S(=O)(c1ccc(N2CC(CN3CCC(C(Cn4ccnc4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1COC1,1,0.7588796397904458,0.7588796397904458
c1nc(N2CCN(c3nncs3)CC2)c2ccsc2n1,7,0.7447240376221942,0.5875155435487249
