structure_id,endpoint,assay_family,measurements,sources,median_p_activity,min_p_activity,max_p_activity,sd_p_activity,range_log10
STR-CC119FD289E2F37C242E,IC50,in_vivo,4,1,8.49148333035061,5.552841968657781,9.0,1.5743068800062154,3.4471580313422194
STR-34DA364C524542BAF54B,IC50,in_vivo,4,1,8.110924374808178,5.552841968657781,9.0,1.505833224874693,3.4471580313422194
STR-E4F36A98E00A8B27E8BD,IC50,in_vivo,4,1,8.27642098432889,5.318758762624412,8.698970004336019,1.5996571616307642,3.3802112417116064
STR-74748864A5B42BEF5513,IC50,cellular_functional,4,1,7.434833115752497,4.991399828238082,8.301029995663981,1.4323261092554196,3.309630167425899
STR-C6C7319A2332D2316F26,IC50,in_vivo,4,1,8.610924374808178,5.698970004336019,9.0,1.53352892296835,3.3010299956639813
STR-CAD50D46562C0D29D331,IC50,biochemical_binding,5,1,7.045757490560675,6.7447274948966935,10.008773924307503,1.6191784086529812,3.2640464294108096
STR-22ABADFB64D91C6FE7F1,IC50,in_vivo,4,1,8.048455006504028,5.494850021680094,8.698970004336019,1.447170784641018,3.204119982655925
STR-72BC2AEC0C9B5FB0C4A6,IC50,in_vivo,4,1,7.032700280890963,5.585026652029182,8.698970004336019,1.365491642231419,3.113943352306837
STR-7E1F0EE1EE4F776E8704,IC50,biochemical_binding,4,1,8.527758663924917,6.958607314841775,10.045757490560677,1.7185806132309696,3.087150175718902
STR-3815BA4AEEA1DB9CE8BA,IC50,in_vivo,4,1,8.037860356969059,5.443697499232712,8.522878745280337,1.4273653914786926,3.079181246047625
STR-73526DEBB89B97E16E0E,IC50,in_vivo,4,1,8.372363747448347,5.6777807052660805,8.698970004336019,1.4351497248727783,3.0211892990699383
STR-F32727EFAF81D38C7334,IC50,in_vivo,4,1,8.610924374808178,5.6777807052660805,8.698970004336019,1.4835702624062561,3.0211892990699383
STR-0A56438F09B3E75AAE8B,IC50,biochemical_inhibition,6,2,6.350665141287858,3.350665141287858,6.366531544420413,1.2270488461887745,3.015866403132555
STR-0B5E0ED39466F3487654,IC50,biochemical_inhibition,3,2,6.080921907623926,6.080921907623926,9.080921907623926,1.7320508075688772,3.0
STR-C24FEE7237633011F0F2,IC50,in_vivo,4,1,8.309894379144197,5.522878745280337,8.522878745280337,1.4430446888722033,3.0
STR-09C0DC45AE124F746F57,IC50,in_vivo,3,1,6.920818753952375,4.744558635429834,7.651500429716163,1.5121901561497557,2.906941794286329
STR-5069BE9F8A4503511646,IC50,in_vivo,3,1,7.397940008672037,4.944506993322155,7.838631997765026,1.559353633796227,2.894125004442871
STR-37892E2865C156499B87,IC50,in_vivo,4,1,8.06246936830415,5.853871964321762,8.698970004336019,1.2621391677689153,2.845098040014257
STR-404CEFB796E101ECF803,IC50,in_vivo,4,1,8.5,6.154901959985743,8.958607314841775,1.2779243323603053,2.8037053548560316
STR-DA4F708C5ED8977F505E,IC50,in_vivo,6,1,8.439713034397075,5.823908740944319,8.568636235841012,1.0688730895536043,2.7447274948966935
STR-08D7941426DE68C61BB3,IC50,in_vivo,3,1,7.522878745280337,5.103473782510445,7.780415473785745,1.476813143161806,2.6769416912753004
